#queryIndex	queryItem	stringId	preferredName	annotation
145	FBgn0031662	7227.FBpp0078636	CG3792	Mannose-P-dolichol utilization defect 1 protein homolog; It is involved in the biological process described with: protein glycosylation
146	FBgn0031611	7227.FBpp0077133	CG17840	FIG4 phosphoinositide 5-phosphatase; Phosphoric ester hydrolase activity
147	FBgn0000115	7227.FBpp0075272	Arl1	ADP-ribosylation factor-like protein 1; GTP-binding protein involved in protein trafficking; may modulate vesicle budding and uncoating within the Golgi apparatus
148	FBgn0038474	7227.FBpp0088833	mRpS11	Mitochondrial ribosomal protein S11; Structural constituent of ribosome. It is involved in the biological process described with: translation
149	FBgn0000639	7227.FBpp0075491	Fbp1	Fat-body protein 1; Protein transporter activity. It is involved in the biological process described with: storage protein import into fat body
150	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
151	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
152	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
153	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
154	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
155	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
156	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
157	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
158	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
159	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
160	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
161	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
162	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
163	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
164	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
165	FBgn0036022	7227.FBpp0076116	CG8329	CG8329; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family
