#node	identifier	domain_summary_url	annotation	other_names_and_aliases
Cp16	7227.FBpp0076301	https://smart.embl.de/smart/DDvec.cgi?smart=138:SIGNAL(1|20)+Pfam_Chorion_S16(30|137)+	Chorion protein S16; Chorion membrane (egg shell) protein; plays a role in protecting the egg from the environment	39001,64407,A4UM28,A8E6S3,A8E6T0,A8E6U5,AAF50372.1,AAY56647.1,ABO71674.1,ABO71737.1,ABO71738.1,ABO71739.1,ABO71740.1,ABO71741.1,ABO71742.1,ABO71743.1,ABV82247.1,ABV82254.1,ABV82269.1,ABV82275.1,ACD99475.1,B3DNC3,BT030865,BT030872,BT030887,BT030893,BT032911,CAA34686.1,CG6533,CG6533-PA,CG6533-RA,CH16_DROME,CP16,Chorion Protein 16,Chorion prot 16,Chorion protein 16,Chorion protein S16,Cp16,Cp16-PA,Cp16-RA,DQ062774,DmelCG6533,Dms16,EF441633,EF441696,EF441697,EF441698,EF441699,EF441700,EF441701,EF441702,FBan0006533,FBgn0000356,FBpp0076301,FBtr0076574,NM_079257,NM_079257.3,NP_523981,NP_523981.1,Ov31,P22977,Q3YMV2,Q9VSP4,S16,UPI00000767AB,X16715,chorion protein 16,dme:Dmel_CG6533,melcp16,s16,s16-1
Cp18	7227.FBpp0076298	https://smart.embl.de/smart/DDvec.cgi?smart=172:SIGNAL(1|17)+Pfam_Chorion_2(26|141)+	Chorion protein S18; Chorion membrane (egg shell) protein; plays a role in protecting the egg from the environment	11025,11026,11027,38998,64404,A4ULX3,A8E6T8,AAF50375.1,ABO71682.1,ABV82262.1,ABV82263.1,ABV82266.1,ABV82280.1,ABY20453.1,ABY20457.1,ABY20459.1,ABY20462.1,ABY20470.1,ACE3,ACN91322.1,BT030880,BT030881,BT030884,BT030898,BT031212,BT031216,BT031218,BT031221,BT031229,BT072990,C0PVD4,CAA26328.1,CAA29602.1,CG6517,CG6517-PA,CG6517-RA,CH18_DROME,CP18,Chorion protein 18,Chorion protein S18,Cp18,Cp18-PA,Cp18-RA,DmelCG6517,Dms18,E5,EF441641,FBan0006517,FBgn0000357,FBgn0004941,FBpp0076298,FBtr0076571,NM_079254,NM_079254.2,NP_523978,NP_523978.1,P07184,Q9VSP1,S-18,S18,Shell-18,UPI0000082B5A,X02497,X06257,chorion protein 18,dme:Dmel_CG6517,s-18,s18,s18-1,unnamed
Cp36	7227.FBpp0071150	https://smart.embl.de/smart/DDvec.cgi?smart=284:Pfam_Chorion_3(3|266)+	Chorion protein 36 (Cp36) is an abundant structural protein of the eggshell whose expression is enhanced by gene amplification in ovarian follicle cells. Cp36 is essential for fertility and for endochorion integrity	15008,15009,31787,58246,A4ULY0,AAF46382.1,ABO71689.1,ACZ61126.1,BT100327,CAA28870.1,CG1478,CG1478-PA,CG1478-RA,CH36_DROME,CP36,Chorion protein 36,Chorion protein S36,Cp36,Cp36-PA,Cp36-RA,D1Z363,DmelCG1478,Dms36,E4,EF441648,FBan0001478,FBgn0000359,FBgn0000428,FBpp0071150,FBtr0071203,NM_078532,NM_078532.1,NP_511087,NP_511087.1,P07182,Q9W3E6,S36,Shell-36,UPI000007E169,X05245,chorion protein 36,cp36,dec-2,dec2,dec[[2]],defective chorion 2,dme:Dmel_CG1478,fs(1)C2,s36,s36-1,s365
Cp38	7227.FBpp0289676	https://smart.embl.de/smart/DDvec.cgi?smart=306:Pfam_Chorion_3(1|115)+Pfam_Chorion_3(113|241)+	Chorion protein S38; Structural constituent of chorion. It is involved in the biological process described with: eggshell chorion assembly	31788,58247,A4ULY8,A9UN49,A9UN60,AAF46383.1,ABO71697.1,ABY20454.1,ABY20465.1,ABY20469.1,ACD99461.1,ACD99468.1,ACD99472.1,ACD99581.1,ACE1,ACZ95238.1,B3DNA9,B3DNC0,B3DNM9,BT031213,BT031224,BT031228,BT032897,BT032904,BT032908,BT033017,CAA28871.1,CG1121,CG11213,CG11213-PA,CG11213-PB,CG11213-RA,CG11213-RB,CH38_DROME,CP38,Chorion prot 38,Chorion protein 38,Chorion protein S38,Cp38,Cp38-PA,Cp38-PB,Cp38-RA,Cp38-RB,DmelCG11213,Dms38,E1JJF7,E3,EF441656,FBan0011213,FBgn0000360,FBgn0004940,FBpp0071151,FBpp0289676,FBtr0071204,FBtr0300448,NM_001169232,NM_001169232.1,NM_078533,NM_078533.2,NP_001162703,NP_001162703.1,NP_511088,NP_511088.1,P07183,Q9W3E5,S38,Shell-38,UPI0000124CA9,chorion protein 38, isoform B,dme:Dmel_CG11213,s38,s38-1
Cpr64Aa	7227.FBpp0073110	https://smart.embl.de/smart/DDvec.cgi?smart=192:SIGNAL(1|18)+Pfam_Chitin_bind_4(60|112)+	Cuticular protein 64Aa; Structural constituent of chitin-based larval cuticle; structural constituent of chitin-based cuticle. It is involved in the biological process described with: chitin-based cuticle development	38508,63986,AAF47861.1,AAL48104.1,AY070633,BI569496,CG15006,CG15006-PA,CG15006-RA,Cpr64Aa,Cpr64Aa-PA,Cpr64Aa-RA,Cuticular protein 64Aa,DmelCG15006,DmelCpr64Aa,Dmel_CG15006,FBan0015006,FBgn0035510,FBpp0073110,FBtr0073254,NM_139615,NM_139615.3,NP_647872,NP_647872.1,Q9VZG2,Q9VZG2_DROME,RH01578p,UPI0000079F37,cuticular protein 64Aa,dme:Dmel_CG15006
Cpr65Au	7227.FBpp0076768	https://smart.embl.de/smart/DDvec.cgi?smart=106:SIGNAL(1|19)+Pfam_Chitin_bind_4(42|98)+	Cuticular protein 65Au, isoform A; Structural constituent of chitin-based larval cuticle; structural constituent of chitin-based cuticle. It is involved in the biological process described with: chitin-based cuticle development	59158,AAG22327.2,AAM50666.1,AI389859,AY118806,BcDNA:GH21145,CG18778,CG18778-PA,CG18778-RA,Cpr65Au,Cpr65Au-PA,Cpr65Au-PB,Cpr65Au-RA,Cuticular protein 65Au,Cuticular protein 65Au, isoform A,Cuticular protein 65Au, isoform B,DmelCG18778,DmelCpr65Au,Dmel_CG18778,FBan0018778,FBgn0042119,FBgn0063231,FBpp0076768,FBtr0077060,GEO08955p1,GH21145p,NM_144404,NM_144404.1,NP_001286953,NP_001286953.1,NP_652661,NP_652661.1,Q9I7Q5,Q9I7Q5_DROME,UPI000007A0F1,cuticular protein 65Au, isoform B,dme:Dmel_CG18778
Cyt-c-p	7227.FBpp0080446	https://smart.embl.de/smart/DDvec.cgi?smart=108:Pfam_Cytochrome_CBB3(6|103)+	Cytochrome c-2; Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain	34996,61003,AA817556,AAA28437.1,AAF53554.1,AAL49323.1,AY071701,BI611107,BZ592574,CAA25900.1,CG17903,CG17903-PA,CG17903-RA,CYC2_DROME,CYTC2,CZ473575,CZ483936,Cyt C,Cyt-c-p,Cyt-c-p-PA,Cyt-c-p-PB,Cyt-c-p-RA,Cyt-c2,CytC-2,Cytc,Cytc-p,Cytochrome c proximal,Cytochrome c-2,Cytochrome c-proximal,Cytochrome-c-proximal,DC4,DMc01,DmelCG17903,FBan0017903,FBgn0000409,FBgn0284248,FBpp0080446,FBtr0080889,M11381,MTDROME17903,NM_057828,NM_057828.3,NP_001285984,NP_001285984.1,NP_477176,NP_477176.1,P00033,P00034,P84029,Q9VJJ3,UPI0000000FDA,X01760,cyt c,cyt c-p,cyt-c-p,cyt.c,cytochrome c,cytochrome c DC4,cytochrome c proximal, isoform B,cytochrome-c-p,dme:Dmel_CG17903,l(2)SH1590,pDMc01
Dot	7227.FBpp0077221	https://smart.embl.de/smart/DDvec.cgi?smart=537:SIGNAL(1|26)+Pfam_Glyco_tran_28_C(355|459)+	Dorothy, isoform A; Dorothy encodes a member of the superfamily of UDP glycosyltransferase enzymes, which are found across all kingdoms and are involved in detoxification of endogenous and xenobiotic compounds	2.4.1.17,44058,68807,AA567565,AAF51084.3,AAF81421.1,AAM50742.1,ABI34158.1,AF250328,AQ025853,AY118882,BT028777,CG2788,CG2788-PA,CG2788-RA,DmelCG2788,Dmel_CG2788,Dorothy,Dorothy, isoform A,Dorothy, isoform B,Dot,Dot-PA,Dot-PB,Dot-RA,EC 2.4.1.17,FBan0002788,FBgn0015663,FBgn0031553,FBpp0077221,FBtr0077532,IP04436p,NM_079947,NM_079947.4,NP_001285591,NP_001285591.1,NP_524686,NP_524686.3,Q0IGZ3,Q7JVK2,Q9NBD8,Q9VQT0,Q9VQT0_DROME,UPI00003FB015,dme:Dmel_CG2788,dorothy, isoform B
Drsl4	7227.FBpp0072925	https://smart.embl.de/smart/DDvec.cgi?smart=71:Knot1(28|71)+	Drosomycin-like 4 is a secreted peptide with homology to the antifungal peptide Drs	317954,AAN11558.1,AAQ01202.1,AAQ62883.1,ABY84137.1,ACK77632.1,AY338360,AY351399,B7FNM4,BT053714,CAI76991.1,CAI76998.1,CAI77005.1,CAI77012.1,CAI77019.1,CAI77026.1,CAI77033.1,CAI77040.1,CAI77047.1,CAI77054.1,CAI77061.1,CAI77068.1,CAI77075.1,CAI77082.1,CAI77089.1,CAI77096.1,CAI77103.1,CAI77110.1,CAI77117.1,CAI77124.1,CAI77201.1,CG32282,CG32282-PA,CG32282-RA,DmelCG32282,Dmel_CG32282,Dro-4,Dro4,Dro4 protein,Drosomycin 4,Drosomycin-4,Drosomycin-like 4,Drosomycin-like F,Drs-lF,Drsl4,Drsl4-PA,EU375841,FBan0032282,FBgn0052282,FBpp0072925,FBtr0073061,NM_168021,NM_168021.2,NP_728862,NP_728862.1,Q8IRD6,Q8IRD6_DROME,UPI0000084440,dme:Dmel_CG32282,dro-4,dro4,dro4-PA,dro4-RA,dros4,drosomycin,drosomycin-4,drosomycin-F
Fbp1	7227.FBpp0075491	https://smart.embl.de/smart/DDvec.cgi?smart=1029:SIGNAL(1|17)+Pfam_Hemocyanin_N(37|160)+Pfam_Hemocyanin_C(780|1027)+	Fat-body protein 1; Protein transporter activity. It is involved in the biological process described with: storage protein import into fat body	39566,64902,AAF49757.2,AAM50948.1,AAN11802.1,AAO24985.1,AAO39572.1,AI258578,AI260329,AI294515,AI297314,AY119088,BT003230,BT003568,CAA38744.1,CAA49588.1,CG17285,CG17285-PA,CG17285-PB,CG17285-PC,CG17285-RA,CG17285-RB,CG17285-RC,DmeFBP1,DmelCG17285,FBP1,FBP1_DROME,FBan0017285,FBgn0000639,FBpp0075491,FBpp0075492,FBpp0306181,FBtr0075749,FBtr0075750,FBtr0334055,Fat body protein 1,Fat body protein 1, isoform A,Fat-body protein 1,Fbp-1,Fbp1,Fbp1-PA,Fbp1-PB,Fbp1-PC,Fbp1-PD,Fbp1-RA,Fbp1-RB,Fbp1-RC,LP07910p,NM_079341,NM_079341.1,NM_168578,NM_168578.1,NP_524065,NP_524065.1,NP_729959,NP_729959.1,P1,Protein-1,Q04691,Q86PB6,Q8IQL4,Q9VUD0,UPI000000C093,UPI000008454B,UPI00001E1B45,X54997,X69965,dme:Dmel_CG17285,fat body protein 1,fat body protein-1,fat body protein1,fbp1
GstD10	7227.FBpp0082079	https://smart.embl.de/smart/DDvec.cgi?smart=210:Pfam_GST_N(1|75)+Pfam_GST_C_3(103|192)+	Glutathione transferase activity. It is involved in the biological process described with: glutathione metabolic process	2.5.1.18,3F6F,3GH6,59240,72851,AAF54784.1,ABE01241.1,ABK57060.1,BT025011,BT029403,CG17392,CG18548,CG18548-PA,CG18548-RA,DmGSTD10,DmelCG18548,Dmel_CG18548,EC 2.5.1.18,FBan0018548,FBgn0038019,FBgn0042206,FBpp0082079,FBtr0082609,GSTD10,Glutathione S transferase D10,Glutathione S transferase D10, isoform A,Glutathione S transferase D10, isoform B,GstD10,GstD10-PA,GstD10-PB,GstD10-RA,IP02193p,IP02196p,NM_144456,NM_144456.2,NP_001287302,NP_001287302.1,NP_652713,NP_652713.1,Q9VGA1,Q9VGA1_DROME,UPI000007B4E1,dme:Dmel_CG18548,glutathione S transferase D10, isoform B,gstd10
GstE6	7227.FBpp0085855	https://smart.embl.de/smart/DDvec.cgi?smart=222:Pfam_GST_N(2|77)+Pfam_GST_C_3(112|200)+	Glutathione transferase activity. It is involved in the biological process described with: glutathione metabolic process	2.5.1.18,37111,4YH2,62790,A1ZB71,A1ZB71_DROME,AAF57696.1,AAL48788.2,AY071166,BI214939,CG17530,CG17530-PA,CG17530-RA,CT38747,DmGSTE6,DmelCG17530,Dmel_CG17530,E6,EC 2.5.1.18,FBan0017530,FBgn0034340,FBgn0063494,FBpp0085855,FBtr0086674,GSTE6,Glutathione S transferase E6,GstE6,GstE6-PA,GstE6-RA,NM_137484,NM_137484.3,NP_611328,NP_611328.1,Q7JZM3,UPI0000082E2B,dme:Dmel_CG17530,glutathione S transferase E6
Kaz1-ORFB	7227.FBpp0099600	https://smart.embl.de/smart/DDvec.cgi?smart=115:SIGNAL(1|21)+KAZAL(66|100)+	KAZ1-type serine protease inhibitor-like protein type epsilon; Serine-type endopeptidase inhibitor activity. It is involved in the biological process described with: regulation of proteolysis	3772691,AAF47353.1,AAF47354.2,AAG22218.2,AAL39187.1,AAN11427.1,AAN11428.1,AAN11429.1,AB017972,AB017973,AB017974,AB017975,AB017976,AI109118,AY069042,BAA75687.1,BAA75786.1,BAA75787.1,BAA75788.1,BAA75789.1,BAA75790.1,BG632130,CG1220,CG1220-PA,CG1220-PC,CG1220-PE,CG1220-PF,CG1220-PH,CG1220-RA,CG1220-RC,CG1220-RE,CG1220-RF,CG1220-RH,CG33045,CG33045-RC,CG33045-RD,CG33045-RE,CG33045-RF,CG33045-RG,DmelCG1220,Dmel_CG1220,FBgn0026414,FBgn0063923,FBpp0072391,FBpp0072392,FBpp0072393,FBpp0072394,FBpp0072395,FBpp0072396,FBpp0099593,FBpp0099596,FBpp0099597,FBpp0099598,FBpp0099600,FBtr0072488,FBtr0072489,FBtr0072490,FBtr0072491,FBtr0072493,FBtr0072494,FBtr0100224,FBtr0100851,KAZ1 type C1,KAZ1 type C2,KAZ1 type C3,KAZ1 type D,KAZ1 type E,KAZ1 type beta,Kaz1,Kaz1-ORFB,Kaz1-ORFB, isoform H,Kaz1-ORFB-PA,Kaz1-ORFB-PC,Kaz1-ORFB-PE,Kaz1-ORFB-PF,Kaz1-ORFB-PH,Kaz1-ORFB-RA,Kaz1-ORFB-RC,Kaz1-ORFB-RD,Kaz1-ORFB-RE,Kaz1-ORFB-RF,Kaz1-ORFB-RG,Kaz1-ORFB-RH,Kaz1-RC,Kaz1-RD,Kaz1-RE,Kaz1-RF,Kaz1-RG,Kaz1:1-RA,Kaz1:1-RC,Kaz1:1-RE,Kaz1:1-RF,Kaz1:1-RH,NM_001031920,NM_001031920.2,NM_138169,NM_138169.4,NM_167807,NM_167807.3,NM_167809,NM_167809.3,NM_167810,NM_167810.3,NP_001027091,NP_001027091.1,NP_612013,NP_612013.3,NP_728493,NP_728493.2,NP_728495,NP_728495.1,NP_728496,NP_728496.2,O97042,O97042_DROME,ORF B,ORF C,ORF D,ORF E,Q7KYD6,Q7YZA1,Q8IRJ6,UPI0000007258,UPI000007DA98,UPI0000084407,dme:Dmel_CG1220
Lcp65Ag1	7227.FBpp0076766	https://smart.embl.de/smart/DDvec.cgi?smart=105:SIGNAL(1|16)+Pfam_Chitin_bind_4(37|92)+	Lcp65Ag1 is a small structural protein of the chitin based larval cuticle	38703,64158,CG10530,CG10530-PA,CG10530-RA,DCP8-alpha,FBan0010530,FBgn0002539,FBgn0020638,FBpp0076766,FBtr0077058,LCP8,L[[3]]CP8,Lcp-g1,Lcp65Ag1,Lcp65Ag1-PA,Lcp65Ag1-RA,NM_057925,NM_057925.2,NP_477273,NP_477273.1
Lsd-2	7227.FBpp0110269	https://smart.embl.de/smart/DDvec.cgi?smart=406:Pfam_Perilipin(35|229)+	Lipid storage droplet-2	145098_at,32437,58792,AAF48419.1,AAL25281.1,ABI30981.1,ABI30982.1,AI106959,AI402042,AY060242,BH609997,BI371912,CG9057,CG9057-PA,CG9057-PB,CG9057-PC,CG9057-RA,CG9057-RB,CG9057-RC,CZ472091,CZ481102,CZ483844,CZ483845,DmPLIN2,DmelCG9057,Dmel_CG9057,FBan0009057,FBgn0030608,FBpp0073784,FBpp0110268,FBpp0110269,FBtr0073967,FBtr0110968,FBtr0110969,LSD-2,LSD2,LSP-2,Lipid Storage Droplet 2 Gene,Lipid Storage Droplet protein 2,Lipid storage droplet-2,Lipid storage droplet-2, isoform D,Lsd-2,Lsd-2-PA,Lsd-2-PB,Lsd-2-PC,Lsd-2-RA,Lsd-2-RB,Lsd-2-RC,Lsd2,NM_001042811,NM_001042811.1,NM_001042812,NM_001042812.1,NM_132768,NM_132768.2,NP_001036276,NP_001036276.1,NP_001036277,NP_001036277.1,NP_001036277.2,NP_572996,NP_572996.1,PLIN2,Q0KHS6,Q0KHS6_DROME,Q0KHS7,Q9VXY7,UPI00000799E5,UPI00004C5A2D,UPI0000DD5D72,lipid storage droplet 2,lipid storage droplet-2,plin2
Lsp1alpha	7227.FBpp0073484	https://smart.embl.de/smart/DDvec.cgi?smart=816:SIGNAL(1|16)+Pfam_Hemocyanin_N(32|154)+Pfam_Hemocyanin_M(159|523)+Pfam_Hemocyanin_C(532|782)+	Larval serum protein 1 alpha chain; Larval storage protein (LSP) which may serve as a store of amino acids for synthesis of adult proteins; Belongs to the hemocyanin family	11049,32199,58598,AAF48168.2,CAA27066.1,CAA27506.1,CG2559,CG2559-PA,CG2559-RA,DmeLSP1a,DmelCG2559,FBan0002559,FBgn0002562,FBpp0073484,FBtr0073651,Hexamerin-1-alpha,LSP 1,LSP-1,LSP-1 alpha,LSP-1alpha,LSP1,LSP1-a,LSP1-alpha,LSP1A_DROME,LSP1alpha,Larval serum protein 1 alpha,Larval serum protein 1 alpha chain,Larval serum protein one alpha,Lsp1,Lsp1-alpha,Lsp1alpha,Lsp1alpha-PA,Lsp1alpha-RA,NM_078583,NM_078583.2,NP_511138,NP_511138.2,P11995,Q9VYM4,UPI00000072A9,X03368,X03872,dme:Dmel_CG2559,larval serum protein 1 alpha
Lsp1gamma	7227.FBpp0072365	https://smart.embl.de/smart/DDvec.cgi?smart=772:SIGNAL(1|16)+Pfam_Hemocyanin_N(31|153)+Pfam_Hemocyanin_M(158|490)+Pfam_Hemocyanin_C(499|748)+	Larval serum protein 1 gamma chain; Larval storage protein (LSP) which may serve as a store of amino acids for synthesis of adult proteins; Belongs to the hemocyanin family	11051,38015,AAB71666.1,AAF47324.1,AAL39893.1,ABZ88733.1,ABZ88734.1,ABZ88735.1,ABZ88736.1,ABZ88737.1,ABZ88738.1,ABZ88739.1,ABZ88740.1,ABZ88741.1,ABZ88742.1,ABZ88743.1,ABZ88744.1,ABZ88745.1,ABZ88746.1,ABZ88747.1,ABZ88748.1,ABZ88749.1,ABZ88750.1,ABZ88751.1,ABZ88752.1,ABZ88753.1,ABZ88754.1,ABZ88755.1,ABZ88756.1,ABZ88757.1,ABZ88758.1,ABZ88759.1,ABZ88760.1,ABZ88761.1,ABZ88762.1,ABZ88763.1,ABZ88764.1,ABZ88765.1,ABZ88766.1,ABZ88767.1,ABZ88768.1,ABZ88769.1,ABZ88770.1,ABZ88771.1,ABZ88772.1,ABZ88773.1,ABZ88774.1,ABZ88775.1,ABZ88776.1,ABZ88777.1,ABZ88778.1,AF016033,AI295166,AW944103,AY069748,B0ZRR2,CAA27508.1,CG6821,CG6821-PA,CG6821-RA,DmeLSP1g,DmelCG6821,EU394800,EU394801,EU394802,EU394803,EU394804,EU394805,EU394806,EU394807,EU394808,EU394809,EU394810,EU394811,EU394812,EU394813,EU394814,EU394815,EU394816,EU394817,EU394818,EU394819,EU394820,EU394821,EU394822,EU394823,EU394824,EU394825,EU394826,EU394827,EU394828,EU394829,EU394830,EU394831,EU394832,EU394833,EU394834,EU394835,EU394836,EU394837,EU394838,EU394839,EU394840,EU394841,EU394842,EU394843,EU394844,EU394845,FBan0006821,FBgn0002564,FBpp0072365,FBtr0072463,Hexamerin-1-gamma,LSP 1,LSP-1 gamma,LSP-1gamma,LSP1,LSP1G_DROME,Larval serum protein 1 gamma,Larval serum protein 1 gamma chain,Larval serum protein 1[gamma],Larval serum protein 1gamma,Lsp-1gamma,Lsp1,Lsp1-g,Lsp1-gamma,Lsp1[gamma],Lsp1gama,Lsp1gamma,Lsp1gamma-PA,Lsp1gamma-RA,NM_079144,NM_079144.4,NP_523868,NP_523868.1,O16162,P11997,Q9W0V6,UPI0000000F9B,X03874,dme:Dmel_CG6821,larval serum protein 1 gamma
Lsp2	7227.FBpp0088363	https://smart.embl.de/smart/DDvec.cgi?smart=701:SIGNAL(1|21)+Pfam_Hemocyanin_N(33|156)+Pfam_Hemocyanin_M(161|420)+Pfam_Hemocyanin_C(429|693)+	Larval serum protein 2; Larval storage protein (LSP) which may serve as a store of amino acids for synthesis of adult proteins	45326,69593,AAF49958.1,AAM50865.1,AI259828,AY119005,C23,CAA66371.1,CG11538,CG6806,CG6806-PA,CG6806-RA,DmeLSP2,DmelCG6806,FBan0006806,FBgn0002565,FBgn0036251,FBpp0088363,FBtr0089324,Hexamerin-2,LHP,LSP 2,LSP-2,LSP2,LSP2_DROME,Larval serum protein 2,Larval serum protein-2,Lsp-2,Lsp2,Lsp2-PA,Lsp2-PB,Lsp2-RA,NM_080077,NM_080077.2,NP_001287042,NP_001287042.1,NP_524816,NP_524816.1,Protein-1,Pt-1,Q24388,Q9VTT8,UPI0000076ABD,X97770,dme:Dmel_CG6806,larval serum protein 2,larval serum protein 2, isoform B,larval-hemolymph-protein
Mdr50	7227.FBpp0086666	https://smart.embl.de/smart/DDvec.cgi?smart=1313:Pfam_ABC_membrane(88|382)+AAA(458|644)+Pfam_ABC_membrane(746|1021)+AAA(1097|1285)+	Multi drug resistance 50; ATPase activity, coupled to transmembrane movement of substances; ATP binding; drug transmembrane transporter activity; ATPase activity, coupled. It is involved in the biological process described with: response to methotrexate; drug transport; transmembrane transport	3.6.3.44,36582,AAA16186.1,AAF58271.2,AAF58271.3,AAX33510.1,BT021362,CG8523,CG8523-PA,CG8523-RA,Dm2,Dm3,DmelCG8523,Dmel_CG8523,EC 3.6.3.44,FBan0008523,FBgn0010241,FBpp0086666,FBtr0087537,L07065,LP14331p,MDR50,Mdr50,Mdr50-PA,Mdr50-RA,Multi drug resistance 50,NM_079016,NM_079016.3,NP_523740,NP_523740.3,Q24393,Q5BI62,Q5BI62_DROME,Q9TX78,Q9TX79,UPI00003FB3D4,dme:Dmel_CG8523,multi drug resistance 50
