"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"727","Basigin, isoform G OS=Drosophila melanogaster GN=Bsg PE=1 SV=1",7.094,7.296,7.19,7.189,7.132,6.808,6.871,6.579,6.354,6.377,-0.582,0.007,"Basigin, isoform G","Bsg","no_change"
"728","RE14391p OS=Drosophila melanogaster GN=Sec63 PE=1 SV=1",9.435,9.449,9.447,9.481,9.518,9.516,9.495,9.482,9.533,9.559,0.051,0.373,"RE14391p","Sec63","no_change"
"729","Sec23 ortholog, isoform E OS=Drosophila melanogaster GN=Sec23 PE=1 SV=1",9.181,9.132,9.146,9.104,9.215,9.174,9.113,9.178,9.102,9.119,-0.019,0.767,"Sec23 ortholog, isoform E","Sec23","no_change"
"730","Probable phosphorylase b kinase regulatory subunit alpha OS=Drosophila melanogaster GN=CG7766 PE=1 SV=2",9.278,9.269,9.287,9.219,9.276,9.187,9.138,9.266,9.528,9.871,0.132,0.415,"Probable phosphorylase b kinase regulatory subunit alpha","CG7766","no_change"
"731","SR protein kinase, isoform D OS=Drosophila melanogaster GN=SRPK PE=1 SV=1",8.731,8.713,8.796,8.873,8.608,8.85,8.901,8.816,8.945,8.748,0.108,0.194,"SR protein kinase, isoform D","SRPK","no_change"
"732","Prominin, isoform D OS=Drosophila melanogaster GN=prom PE=1 SV=1",9.202,9.038,9.055,8.978,9.033,8.98,9.026,9.058,9.025,9.14,-0.016,0.846,"Prominin, isoform D","prom","no_change"
"733","Putative uncharacterized protein OS=Drosophila melanogaster GN=wal PE=1 SV=1",10.185,9.611,9.905,9.612,9.876,9.984,10.16,10.645,10.89,11.184,0.735,0.032,"Putative uncharacterized protein","wal","no_change"
"734","ER membrane protein complex 1, isoform C OS=Drosophila melanogaster GN=EMC1 PE=1 SV=1",9.47,9.363,9.365,9.386,9.35,9.406,9.488,9.509,9.521,9.402,0.078,0.23,"ER membrane protein complex 1, isoform C","EMC1","no_change"
"735","Paramyosin, isoform E OS=Drosophila melanogaster GN=Prm PE=1 SV=1",5.464,4.854,5.339,4.533,4.909,5.146,5.541,6.201,6.312,7.983,1.217,0.059,"Paramyosin, isoform E","Prm","up"
"736","Eukaryotic translation initiation factor 3 subunit B OS=Drosophila melanogaster GN=eIF3-S9 PE=1 SV=1",9.983,9.844,9.925,9.771,9.746,9.935,10.074,10.286,10.447,10.594,0.413,0.028,"Eukaryotic translation initiation factor 3 subunit B","eIF3-S9","no_change"
"737","Argonaute-1, isoform A OS=Drosophila melanogaster GN=AGO1 PE=1 SV=1",9.171,9.224,9.186,9.108,9.281,9.02,9.267,9.2,9.296,9.403,0.043,0.657,"Argonaute-1, isoform A","AGO1","no_change"
"738","Jitterbug, isoform N OS=Drosophila melanogaster GN=jbug PE=1 SV=1",9.213,9.42,9.217,9.361,9.388,9.202,9.05,8.989,8.958,8.981,-0.284,0.018,"Jitterbug, isoform N","jbug","no_change"
"739","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2",6.494,6.52,7.655,7.393,6.961,8.816,6.123,6.798,6.905,7.372,0.198,0.738,"Keratin, type II cytoskeletal 2 epidermal","KRT2","no_change"
"740","FACT complex subunit spt16 OS=Drosophila melanogaster GN=dre4 PE=1 SV=2",9.136,8.98,9.16,9.261,8.96,9.233,9.254,9.235,9.074,8.815,0.023,0.868,"FACT complex subunit spt16","dre4","no_change"
"741","Z band alternatively spliced PDZ-motif protein 52, isoform P OS=Drosophila melanogaster GN=Zasp52 PE=1 SV=1",6.142,5.814,6.165,5.659,5.797,6.274,5.935,5.98,6.295,6.484,0.278,0.117,"Z band alternatively spliced PDZ-motif protein 52, isoform P","Zasp52","no_change"
"742","Signal recognition particle receptor subunit alpha homolog OS=Drosophila melanogaster GN=Gtp-bp PE=1 SV=2",9.608,9.471,9.507,9.506,9.568,9.654,9.63,9.684,9.678,9.667,0.131,0.055,"Signal recognition particle receptor subunit alpha homolog","Gtp-bp","no_change"
"743","Muscle LIM protein at 60A, isoform F OS=Drosophila melanogaster GN=Mlp60A PE=1 SV=1",7.826,6.891,7.568,7.063,7.162,7.697,7.608,8.258,8.192,8.318,0.713,0.028,"Muscle LIM protein at 60A, isoform F","Mlp60A","no_change"
"744","Cortactin, isoform A OS=Drosophila melanogaster GN=Cortactin PE=1 SV=1",10.293,10.211,10.277,10.265,10.356,10.229,10.03,10.034,9.916,9.912,-0.256,0.023,"Cortactin, isoform A","Cortactin","no_change"
"745","CG8108, isoform A OS=Drosophila melanogaster GN=BcDNA:GH07921 PE=1 SV=1",9.76,10.246,10.046,10.122,10.175,10.111,9.826,9.557,9.654,9.56,-0.328,0.063,"CG8108, isoform A","BcDNA:GH07921","no_change"
"746","AT02443p OS=Drosophila melanogaster GN=exu PE=1 SV=1",9.309,9.022,9.232,9.264,9.041,9.302,9.035,8.883,9.223,9.072,-0.071,0.558,"AT02443p","exu","no_change"
"747","Cap binding protein 80, isoform B OS=Drosophila melanogaster GN=Cbp80 PE=1 SV=1",8.971,8.464,8.83,8.774,8.695,8.832,9.009,9.139,9.253,9.167,0.333,0.038,"Cap binding protein 80, isoform B","Cbp80","no_change"
"748","Peptidylprolyl isomerase OS=Drosophila melanogaster GN=Fkbp14 PE=1 SV=1",9.776,9.602,9.739,9.676,9.755,9.88,9.876,10.045,10.03,9.922,0.241,0.018,"Peptidylprolyl isomerase","Fkbp14","no_change"
"749","Protein CDV3 homolog OS=Drosophila melanogaster GN=CG3760 PE=1 SV=1",5.658,5.62,5.922,5.544,5.345,5.819,5.829,5.784,5.85,5.804,0.199,0.107,"Protein CDV3 homolog","CG3760","no_change"
"750","Probable cytochrome P450 12a4, mitochondrial OS=Drosophila melanogaster GN=Cyp12a4 PE=2 SV=2",7.847,7.815,7.861,7.714,7.976,7.9,7.747,7.801,8.007,8.058,0.06,0.542,"Probable cytochrome P450 12a4, mitochondrial","Cyp12a4","no_change"
"751","Cytochrome c oxidase subunit 5B, isoform A OS=Drosophila melanogaster GN=COX5B PE=1 SV=1",10.65,9.96,10.554,10.206,10.333,10.685,10.629,10.762,10.855,11.067,0.459,0.028,"Cytochrome c oxidase subunit 5B, isoform A","COX5B","no_change"
"752","RE74917p OS=Drosophila melanogaster GN=tobi PE=2 SV=1",9.86,9.89,9.462,9.792,10.268,9.688,9.351,9.79,9.823,10.011,-0.122,0.538,"RE74917p","tobi","no_change"
"753","DNA replication licensing factor Mcm2 OS=Drosophila melanogaster GN=Mcm2 PE=1 SV=1",8.654,8.312,8.635,8.427,8.39,8.703,9.007,9.215,9.303,9.228,0.607,0.01,"DNA replication licensing factor Mcm2","Mcm2","no_change"
"754","FI21448p1 OS=Drosophila melanogaster GN=l(1)1Bi PE=1 SV=1",9.168,9.462,9.249,9.412,9.336,8.939,8.886,8.693,8.751,8.743,-0.523,0.003,"FI21448p1","l(1)1Bi","no_change"
"755","CG4849 OS=Drosophila melanogaster GN=CG4849 PE=1 SV=1",8.991,8.814,8.845,8.824,8.896,8.926,9.066,9.104,9.302,9.335,0.272,0.034,"CG4849","CG4849","no_change"
"756","Tenzing norgay, isoform B OS=Drosophila melanogaster GN=tzn PE=1 SV=1",10.121,10.035,10.074,10.081,10.022,10.058,10.35,10.405,10.435,10.359,0.255,0.028,"Tenzing norgay, isoform B","tzn","no_change"
"757","MIP34848p1 OS=Drosophila melanogaster GN=smp-30 PE=1 SV=1",8.921,8.507,8.554,8.438,8.907,8.969,9.2,9.623,10.058,10.762,1.057,0.026,"MIP34848p1","smp-30","up"
"758","60S ribosomal protein L10a-2 OS=Drosophila melanogaster GN=RpL10Ab PE=1 SV=2",9.286,8.866,8.994,8.908,8.947,9.142,9.395,9.752,10.043,10.467,0.759,0.028,"60S ribosomal protein L10a-2","RpL10Ab","no_change"
"759","Phospholipase A2 activator protein, isoform A OS=Drosophila melanogaster GN=Plap PE=1 SV=1",9.533,9.419,9.481,9.503,9.47,9.614,9.676,9.698,9.737,9.667,0.197,0.018,"Phospholipase A2 activator protein, isoform A","Plap","no_change"
"760","Glucose-6-phosphate 1-dehydrogenase OS=Drosophila melanogaster GN=Zw PE=1 SV=1",7.972,7.853,7.965,7.913,8.131,8.166,8.086,8.188,8.048,8.046,0.14,0.102,"Glucose-6-phosphate 1-dehydrogenase","Zw","no_change"
"761","Chitinase-like protein CG5210 OS=Drosophila melanogaster GN=CG5210 PE=1 SV=2",10.033,9.844,9.972,9.857,9.836,9.987,10.135,10.2,10.091,9.969,0.168,0.07,"Chitinase-like protein CG5210","CG5210","no_change"
"762","Cubilin homolog OS=Drosophila melanogaster GN=Cubn PE=2 SV=3",8.254,8.526,8.312,8.418,8.418,8.426,8.387,8.219,8.165,8.108,-0.125,0.227,"Cubilin homolog","Cubn","no_change"
"763","Elongation factor G, mitochondrial OS=Drosophila melanogaster GN=ico PE=2 SV=2",9.537,9.37,9.354,9.269,9.383,9.368,9.407,9.542,9.645,9.758,0.161,0.149,"Elongation factor G, mitochondrial","ico","no_change"
"764","GTP-binding nuclear protein Ran OS=Drosophila melanogaster GN=Ran PE=1 SV=1",10.226,9.83,10.137,10.023,9.956,10.106,10.341,10.473,10.591,10.893,0.446,0.033,"GTP-binding nuclear protein Ran","Ran","no_change"
"765","CG8003, isoform A OS=Drosophila melanogaster GN=Dmel\CG8003 PE=1 SV=1",9.461,9.3,9.403,9.259,9.306,9.181,9.538,9.614,9.661,9.685,0.19,0.137,"CG8003, isoform A","Dmel\CG8003","no_change"
"766","L.2.35Df OS=Drosophila melanogaster GN=Mtr4 PE=1 SV=1",8.779,8.813,8.754,8.805,8.697,8.773,8.753,8.752,8.658,8.666,-0.049,0.442,"L.2.35Df","Mtr4","no_change"
"767","AMP deaminase OS=Drosophila melanogaster GN=AMPdeam PE=1 SV=4",5.757,6.158,5.861,5.942,5.931,5.319,5.449,5.346,5.329,4.959,-0.649,0.004,"AMP deaminase","AMPdeam","no_change"
"768","Aromatic-L-amino-acid decarboxylase OS=Drosophila melanogaster GN=Ddc PE=1 SV=4",8.28,8.609,8.33,8.373,8.411,8.327,8.119,8.016,7.956,8.145,-0.288,0.03,"Aromatic-L-amino-acid decarboxylase","Ddc","no_change"
"769","CG8963, isoform A OS=Drosophila melanogaster GN=CG8963 PE=1 SV=1",8.511,8.297,8.608,8.442,8.292,8.638,8.717,8.68,8.612,8.519,0.203,0.056,"CG8963, isoform A","CG8963","no_change"
"770","NTPase, isoform F OS=Drosophila melanogaster GN=NTPase PE=1 SV=1",9.555,9.498,9.462,9.315,9.569,9.286,9.333,9.457,9.409,9.66,-0.051,0.63,"NTPase, isoform F","NTPase","no_change"
"771","Neurochondrin homolog OS=Drosophila melanogaster GN=Neurochondrin PE=2 SV=1",9.423,9.497,9.505,9.406,9.481,9.298,9.274,9.134,9.147,9.114,-0.269,0.012,"Neurochondrin homolog","Neurochondrin","no_change"
"772","Eukaryotic translation initiation factor 3 subunit H OS=Drosophila melanogaster GN=eIF-3p40 PE=1 SV=2",9.112,8.776,9.093,8.923,8.964,9.044,9.143,9.249,9.32,9.32,0.242,0.047,"Eukaryotic translation initiation factor 3 subunit H","eIF-3p40","no_change"
"773","Thioredoxin domain-containing protein 5 homolog OS=Drosophila melanogaster GN=prtp PE=1 SV=2",9.611,9.75,9.624,9.665,9.601,9.578,9.652,9.586,9.531,9.396,-0.102,0.197,"Thioredoxin domain-containing protein 5 homolog","prtp","no_change"
"774","Aminopeptidase OS=Drosophila melanogaster GN=CG5839 PE=1 SV=1",9.427,9.439,9.513,9.364,9.349,9.388,9.477,9.569,9.676,9.751,0.153,0.124,"Aminopeptidase","CG5839","no_change"
"775","GTP-binding protein 128up OS=Drosophila melanogaster GN=128up PE=2 SV=2",10.302,10.044,10.205,10.191,10.184,10.154,10.226,10.294,10.262,10.279,0.058,0.447,"GTP-binding protein 128up","128up","no_change"
"776","DNA-directed RNA polymerase II subunit RPB1 OS=Drosophila melanogaster GN=RpII215 PE=3 SV=4",9.123,9.222,9.12,9.197,9.124,9.083,9.191,9.129,9.125,9.006,-0.05,0.457,"DNA-directed RNA polymerase II subunit RPB1","RpII215","no_change"
"777","Collapsin response mediator protein OS=Drosophila melanogaster GN=CRMP PE=1 SV=2",5.496,4.773,4.88,4.845,5.194,5.276,5.253,5.236,5.301,5.485,0.272,0.12,"Collapsin response mediator protein","CRMP","no_change"
"778","Probable peroxisomal acyl-coenzyme A oxidase 1 OS=Drosophila melanogaster GN=CG5009 PE=1 SV=1",10.037,10.036,9.899,9.975,10.099,9.876,9.926,10.007,9.957,10.052,-0.046,0.539,"Probable peroxisomal acyl-coenzyme A oxidase 1","CG5009","no_change"
"779","Peptidyl-prolyl cis-trans isomerase OS=Drosophila melanogaster GN=CG2852 PE=1 SV=1",9.737,9.483,9.552,9.56,9.446,9.683,10.093,10.566,10.798,10.931,0.858,0.018,"Peptidyl-prolyl cis-trans isomerase","CG2852","no_change"
"780","Trehalose 6-phosphate phosphatase OS=Drosophila melanogaster GN=CG5171-RC PE=1 SV=1",10.332,10.072,10.222,10.046,10.362,10.066,10.129,10.131,10.348,10.64,0.056,0.717,"Trehalose 6-phosphate phosphatase","CG5171-RC","no_change"
"781","CD98 heavy chain, isoform D OS=Drosophila melanogaster GN=CD98hc PE=1 SV=1",9.763,9.711,9.688,9.679,9.675,9.759,9.742,9.739,9.703,9.655,0.016,0.794,"CD98 heavy chain, isoform D","CD98hc","no_change"
"782","Lipophorin receptor 2, isoform G OS=Drosophila melanogaster GN=LpR2 PE=4 SV=1",8.024,8.304,8.076,8.332,8.33,8.471,7.986,8.088,8.027,8.124,-0.074,0.585,"Lipophorin receptor 2, isoform G","LpR2","no_change"
"783","Dynactin subunit 1 OS=Drosophila melanogaster GN=Gl PE=1 SV=2",9.083,8.984,9.052,9.005,9.055,9.162,9.036,8.99,9.001,8.979,-0.002,0.975,"Dynactin subunit 1","Gl","no_change"
"784","Moira, isoform B OS=Drosophila melanogaster GN=mor PE=1 SV=1",6.378,6.731,6.458,6.541,6.432,6.376,6.295,6.158,6.105,6.027,-0.316,0.025,"Moira, isoform B","mor","no_change"
"785","ADP-ribosylation factor GTPase activating protein 3, isoform H OS=Drosophila melanogaster GN=ArfGAP3 PE=1 SV=2",9.266,9.276,9.257,9.255,9.301,9.33,9.286,9.305,9.225,9.038,-0.034,0.676,"ADP-ribosylation factor GTPase activating protein 3, isoform H","ArfGAP3","no_change"
"786","Sorting nexin OS=Drosophila melanogaster GN=SH3PX1 PE=1 SV=1",8.851,8.748,8.762,8.649,8.746,8.712,8.623,8.637,8.506,8.708,-0.114,0.147,"Sorting nexin","SH3PX1","no_change"
"787","Uncharacterized protein, isoform C OS=Drosophila melanogaster GN=CG42258 PE=1 SV=2",8.53,8.37,8.366,8.333,8.449,8.355,8.247,8.245,8.124,8.207,-0.174,0.051,"Uncharacterized protein, isoform C","CG42258","no_change"
"788","Enhancer of mRNA-decapping protein 4 homolog OS=Drosophila melanogaster GN=Ge-1 PE=1 SV=2",8.984,8.947,8.985,8.976,8.851,9.043,9.048,9.113,9.168,9.097,0.145,0.051,"Enhancer of mRNA-decapping protein 4 homolog","Ge-1","no_change"
"789","Leukotriene A(4) hydrolase OS=Drosophila melanogaster GN=mRpL13 PE=1 SV=4",9.992,9.693,9.796,9.766,9.746,9.911,10.125,10.351,10.464,10.595,0.49,0.019,"Leukotriene A(4) hydrolase","mRpL13","no_change"
"790","Ataxin-2 homolog OS=Drosophila melanogaster GN=Atx2 PE=1 SV=1",9.195,8.874,9.22,9.039,9.005,9.259,9.392,9.402,9.522,9.564,0.361,0.016,"Ataxin-2 homolog","Atx2","no_change"
"791","Ran GTPase activating protein, isoform C OS=Drosophila melanogaster GN=RanGAP PE=1 SV=1",9.634,9.511,9.527,9.452,9.395,9.691,9.71,9.757,9.693,9.541,0.175,0.054,"Ran GTPase activating protein, isoform C","RanGAP","no_change"
"792","Lethal(2) giant larvae protein OS=Drosophila melanogaster GN=l(2)gl PE=1 SV=2",8.855,8.472,8.734,8.541,8.765,8.693,8.711,8.845,8.941,9.098,0.184,0.161,"Lethal(2) giant larvae protein","l(2)gl","no_change"
"793","L-lactate dehydrogenase OS=Drosophila melanogaster GN=ImpL3 PE=2 SV=1",10.57,10.414,10.497,10.334,10.52,10.462,10.574,10.584,10.485,10.525,0.059,0.436,"L-lactate dehydrogenase","ImpL3","no_change"
"794","Glycogen binding subunit 76A, isoform B OS=Drosophila melanogaster GN=Gbs-76A PE=4 SV=1",8.596,9.021,8.687,8.851,9.036,8.569,8.258,8.119,8.135,8.26,-0.57,0.01,"Glycogen binding subunit 76A, isoform B","Gbs-76A","no_change"
"795","Scribbled, isoform L OS=Drosophila melanogaster GN=scrib PE=1 SV=1",4.736,4.76,4.388,4.726,4.714,4.606,4.387,4.751,4.61,4.737,-0.047,0.708,"Scribbled, isoform L","scrib","no_change"
"796","Scribbled, isoform N OS=Drosophila melanogaster GN=scrib PE=1 SV=1",5.962,6.303,6.03,5.992,6.343,6.109,6.047,5.784,5.631,5.672,-0.278,0.087,"Scribbled, isoform N","scrib","no_change"
"797","Importin subunit alpha OS=Drosophila melanogaster GN=Pen PE=1 SV=2",9.627,9.092,9.582,9.403,9.006,9.571,10.043,10.16,10.275,10.057,0.68,0.016,"Importin subunit alpha","Pen","no_change"
"798","FI21236p1 OS=Drosophila melanogaster GN=rump PE=1 SV=1",8.766,8.949,8.845,8.837,8.87,8.675,8.929,8.81,9.001,9.049,0.039,0.701,"FI21236p1","rump","no_change"
"799","FI18644p1 OS=Drosophila melanogaster GN=Hmu PE=1 SV=1",9.888,9.532,9.687,9.523,9.733,9.752,9.918,10.06,10.094,10.081,0.308,0.031,"FI18644p1","Hmu","no_change"
"800","LD37169p OS=Drosophila melanogaster GN=CG14207 PE=1 SV=1",7.286,7.159,7.305,7.142,7.321,7.016,7.083,6.918,7.186,7.45,-0.112,0.36,"LD37169p","CG14207","no_change"
"801","ATP synthase, delta subunit, isoform A OS=Drosophila melanogaster GN=ATPsyndelta PE=1 SV=1",9.354,8.903,8.953,8.772,9.153,9.134,9.316,9.402,9.8,10.277,0.559,0.056,"ATP synthase, delta subunit, isoform A","ATPsyndelta","no_change"
"802","Probable phosphoserine aminotransferase OS=Drosophila melanogaster GN=CG11899 PE=2 SV=1",9.659,9.407,9.539,9.556,9.492,9.722,9.749,9.982,10.069,10.129,0.399,0.015,"Probable phosphoserine aminotransferase","CG11899","no_change"
"803","Adenylosuccinate lyase OS=Drosophila melanogaster GN=AdSL PE=1 SV=1",8.998,8.716,8.819,8.742,8.814,8.859,9.125,9.371,9.55,9.563,0.476,0.025,"Adenylosuccinate lyase","AdSL","no_change"
"804","Flotillin 2, isoform J OS=Drosophila melanogaster GN=Flo2 PE=1 SV=1",9.938,10.139,10.026,10.02,10.025,9.878,9.864,9.778,9.857,10.023,-0.15,0.076,"Flotillin 2, isoform J","Flo2","no_change"
"805","LD40489p OS=Drosophila melanogaster GN=SF2 PE=1 SV=1",9.477,9.461,9.419,9.536,9.556,9.785,9.469,9.464,9.628,9.595,0.099,0.271,"LD40489p","SF2","no_change"
"806","Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3",9.188,8.941,9.398,10.058,8.913,10.108,9.3,8.204,8.412,9.112,-0.272,0.552,"Keratin, type I cytoskeletal 9","KRT9","no_change"
"807","Eb1, isoform F OS=Drosophila melanogaster GN=Eb1 PE=1 SV=2",6.175,6.554,6.339,6.358,6.511,5.994,6.163,5.784,5.738,5.979,-0.456,0.013,"Eb1, isoform F","Eb1","no_change"
"808","LD21576p OS=Drosophila melanogaster GN=Nap1 PE=1 SV=1",9.543,9.103,9.359,9.177,9.221,9.378,9.54,9.614,9.779,10.236,0.429,0.051,"LD21576p","Nap1","no_change"
"809","60S ribosomal protein L31 OS=Drosophila melanogaster GN=RpL31 PE=1 SV=1",11.05,11.243,11.166,11.238,11.074,11.098,11.136,10.992,10.944,10.918,-0.136,0.121,"60S ribosomal protein L31","RpL31","no_change"
"810","BcDNA.LD18761 OS=Drosophila melanogaster GN=Nup107 PE=1 SV=1",9.785,9.755,9.842,9.834,9.723,9.819,9.918,9.814,9.781,9.64,0.007,0.939,"BcDNA.LD18761","Nup107","no_change"
"811","40S ribosomal protein SA OS=Drosophila melanogaster GN=sta PE=1 SV=2",10.147,10.043,10.028,9.873,9.875,9.915,10.207,10.377,10.674,10.922,0.426,0.068,"40S ribosomal protein SA","sta","no_change"
"812","Ciboulot, isoform A OS=Drosophila melanogaster GN=cib PE=1 SV=1",10.049,9.944,10.026,10.132,9.852,9.989,10.239,10.179,10.146,9.981,0.106,0.264,"Ciboulot, isoform A","cib","no_change"
"813","FI02842p OS=Drosophila melanogaster GN=Lmpt PE=1 SV=2",1.847,1.721,1.447,1.26,1.882,2.734,1.737,1.301,1.32,1.567,0.101,0.771,"FI02842p","Lmpt","no_change"
"814","Serine/threonine-protein phosphatase 2B catalytic subunit 1 OS=Drosophila melanogaster GN=CanA1 PE=2 SV=2",7.774,8.057,7.83,7.953,7.829,7.687,7.592,7.405,7.432,7.425,-0.38,0.011,"Serine/threonine-protein phosphatase 2B catalytic subunit 1","CanA1","no_change"
"815","Nopp140, isoform E OS=Drosophila melanogaster GN=Nopp140 PE=1 SV=1",4.991,4.595,4.875,4.497,4.511,4.548,4.766,4.215,4.365,4.815,-0.152,0.396,"Nopp140, isoform E","Nopp140","no_change"
"816","Heat shock protein 23, isoform B OS=Drosophila melanogaster GN=Hsp23 PE=3 SV=1",8.657,8.693,8.676,8.631,8.768,8.672,8.629,8.605,8.763,8.66,-0.019,0.783,"Heat shock protein 23, isoform B","Hsp23","no_change"
"817","CIN85 and CD2AP orthologue, isoform J OS=Drosophila melanogaster GN=cindr PE=1 SV=1",7.951,8.096,7.95,7.936,8.026,7.945,7.806,7.55,7.649,7.571,-0.287,0.028,"CIN85 and CD2AP orthologue, isoform J","cindr","no_change"
"818","GH10652p OS=Drosophila melanogaster GN=BcDNA:HL01868 PE=1 SV=1",8.626,8.259,8.45,8.395,8.216,8.327,8.544,8.504,8.587,8.474,0.098,0.37,"GH10652p","BcDNA:HL01868","no_change"
"819","FI03495p OS=Drosophila melanogaster GN=Tom70 PE=1 SV=2",9.326,8.891,8.979,8.776,9.029,9.021,9.195,9.463,9.719,10.029,0.485,0.061,"FI03495p","Tom70","no_change"
"820","26-29kD-proteinase OS=Drosophila melanogaster GN=26-29-p PE=1 SV=1",10.166,9.663,9.909,9.843,9.658,10.014,10.326,10.52,10.531,10.546,0.539,0.017,"26-29kD-proteinase","26-29-p","no_change"
"821","Probable glutamine--tRNA ligase OS=Drosophila melanogaster GN=Aats-gln PE=2 SV=1",9.617,9.282,9.392,9.355,9.352,9.479,9.618,9.774,9.87,9.808,0.31,0.028,"Probable glutamine--tRNA ligase","Aats-gln","no_change"
"822","LD46723p OS=Drosophila melanogaster GN=Lmpt PE=1 SV=2",4.772,4.727,4.722,4.643,4.695,4.835,4.567,4.56,4.397,4.774,-0.085,0.423,"LD46723p","Lmpt","no_change"
"823","CG3902 OS=Drosophila melanogaster GN=GH07925p PE=1 SV=1",10.544,10.668,10.573,10.647,10.658,10.515,10.536,10.69,10.834,10.972,0.091,0.428,"CG3902","GH07925p","no_change"
"824","GH28815p OS=Drosophila melanogaster GN=CG31188 PE=1 SV=1",9.393,9.199,9.325,9.275,9.169,9.294,9.548,9.746,9.815,9.642,0.337,0.028,"GH28815p","CG31188","no_change"
"825","O-glycosyltransferase OS=Drosophila melanogaster GN=sxc PE=1 SV=1",8.62,8.672,8.777,8.668,8.637,8.583,8.57,8.558,8.524,8.472,-0.133,0.064,"O-glycosyltransferase","sxc","no_change"
"826","GrpE protein homolog, mitochondrial OS=Drosophila melanogaster GN=Roe1 PE=2 SV=2",10.412,10.306,10.277,10.168,10.24,10.177,10.415,10.469,10.45,10.517,0.125,0.2,"GrpE protein homolog, mitochondrial","Roe1","no_change"
"827","G protein alpha o subunit OS=Drosophila melanogaster GN=Galphao PE=1 SV=1",9.305,9.231,9.247,9.163,9.309,9.14,9.158,9.233,9.295,9.377,-0.011,0.903,"G protein alpha o subunit","Galphao","no_change"
"828","Glucose-6-phosphate 1-dehydrogenase OS=Drosophila melanogaster GN=Zw PE=1 SV=2",7.001,6.024,6.746,6.344,6.678,6.54,7.008,7.217,7.364,7.663,0.6,0.061,"Glucose-6-phosphate 1-dehydrogenase","Zw","no_change"
"829","Mitochondrial import inner membrane translocase subunit TIM44 OS=Drosophila melanogaster GN=CG11779 PE=1 SV=1",10.274,10.235,10.276,10.202,10.285,10.238,10.192,10.121,10.125,10.209,-0.077,0.214,"Mitochondrial import inner membrane translocase subunit TIM44","CG11779","no_change"
"830","RNA-binding protein 2, isoform D OS=Drosophila melanogaster GN=eIF4H1 PE=1 SV=1",9.188,9.313,9.181,9.178,9.219,8.947,8.953,8.91,8.943,9.051,-0.255,0.011,"RNA-binding protein 2, isoform D","eIF4H1","no_change"
"831","CG5728 OS=Drosophila melanogaster GN=CG5728 PE=1 SV=2",8.931,9.052,9,9.043,9.021,8.944,8.948,8.849,8.943,8.852,-0.102,0.123,"CG5728","CG5728","no_change"
"832","Protein peanut OS=Drosophila melanogaster GN=pnut PE=1 SV=2",9.68,9.542,9.719,9.612,9.653,9.816,9.726,9.683,9.743,9.68,0.088,0.204,"Protein peanut","pnut","no_change"
"833","FI21225p1 OS=Drosophila melanogaster GN=unc-45 PE=1 SV=1",9.618,9.411,9.378,9.355,9.421,9.407,9.572,9.694,9.797,9.827,0.223,0.074,"FI21225p1","unc-45","no_change"
"834","Methionine aminopeptidase 2 OS=Drosophila melanogaster GN=und PE=1 SV=1",10.008,10.078,10.102,10.197,10.069,10.155,10.16,10.083,9.995,9.836,-0.045,0.632,"Methionine aminopeptidase 2","und","no_change"
"835","Proliferating cell nuclear antigen OS=Drosophila melanogaster GN=PCNA PE=1 SV=2",8.884,8.311,8.664,8.671,8.465,8.823,9.119,9.319,9.442,9.388,0.619,0.014,"Proliferating cell nuclear antigen","PCNA","no_change"
"836","Ubiquitin-60S ribosomal protein L40 OS=Drosophila melanogaster GN=RpL40 PE=1 SV=2",6.185,6.077,6.335,6.147,6.181,5.93,5.985,5.968,5.896,5.914,-0.246,0.016,"Ubiquitin-60S ribosomal protein L40","RpL40","no_change"
"837","LD21067p OS=Drosophila melanogaster GN=PAPLA1 PE=1 SV=1",9.392,9.447,9.451,9.331,9.44,9.442,9.4,9.341,9.207,9.309,-0.072,0.33,"LD21067p","PAPLA1","no_change"
"838","CG3702, isoform A OS=Drosophila melanogaster GN=Dmel\CG3702 PE=1 SV=2",9.365,9.455,9.324,9.414,9.419,9.345,9.359,9.293,9.27,9.107,-0.121,0.132,"CG3702, isoform A","Dmel\CG3702","no_change"
"839","Liquid facets-Related, isoform D OS=Drosophila melanogaster GN=lqfR PE=1 SV=2",8.823,8.714,8.744,8.75,8.848,8.803,8.801,8.84,8.852,8.864,0.056,0.363,"Liquid facets-Related, isoform D","lqfR","no_change"
"840","GEO09167p1 OS=Drosophila melanogaster GN=Nph PE=1 SV=1",8.494,8.076,8.507,8.356,8.353,8.274,8.549,8.843,9.263,9.482,0.525,0.073,"GEO09167p1","Nph","no_change"
"841","Uncharacterized protein OS=Drosophila melanogaster GN=Dmel\CG44195 PE=1 SV=1",9.032,9.062,9.189,9.09,9.057,8.939,8.946,8.822,8.74,8.707,-0.255,0.02,"Uncharacterized protein","Dmel\CG44195","no_change"
